Entry,Drying,Purpose,Shape,First materials,Second materials,Modification,First material class,Second materials class,Modification class,Gelation class,Solvent class,Process,Gelation mechanism,Final solvent,Drying details,Post drying treatment,Post-drying cross-linking,Envelope density g/cm3,Porosity,BET surface area m2/g,BJH pore size nm,BJH pore volume (total) cm3/g,compression elastic modulus MPa,SEM,Thermal conductivity W/(m K),Thermal method,Thermal method detail,,
119,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1000, aging cycle 4/4/0)",Chemical (polymerization),Acetone,APD,,,,,60,,,,,,,,,
120,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1000, aging cycle 7/4/0)",Chemical (polymerization),Acetone,APD,,,,,55,,,,,,,,,
121,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, aging cycle 0/4/0)",Chemical (polymerization),Acetone,APD,,,,,48,,,,,,,,,
122,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, aging cycle 1/4/0)",Chemical (polymerization),Acetone,APD,,,,,14,,,,,,,,,
123,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, aging cycle 2/4/0)",Chemical (polymerization),Acetone,APD,,,,,,,,,,,,,,
124,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, aging cycle 3/4/0)",Chemical (polymerization),Acetone,APD,,,,,,,,,,,,,,
125,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, aging cycle 4/4/0)",Chemical (polymerization),Acetone,APD,,,,,,,,,,,,,,
126,APD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, aging cycle 7/4/0)",Chemical (polymerization),Acetone,APD,,,,,,,,,,,,,,
127,APD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution,Chemical (polymerization),Acetone,APD,Post-calcination at 1050 °C,,,,,,,,,,,,,
128,SCD,Thermal insulation,Monolith,Polyurethane,,,H,,,cp,or,"Polyisocyanate (reagent unknown) + catalyst (curing at 25 °C, 1 day)",Chemical (polymerization),Liquid CO2,SCD,,,0.172,,540,,,,,,,,,
129,SCD,Thermal insulation,Monolith,Polyurethane,,,H,,,cp,or,"Polyisocyanate (reagent unknown) + catalyst (curing at 25 °C, 14 day)",Chemical (polymerization),Liquid CO2,SCD,,,0.189,,601,,,,,,,,,
130,SCD,Thermal insulation,Monolith,Polyurethane,,,H,,,cp,or,"Polyisocyanate (reagent unknown) + catalyst (curing at 120 °C, 3 day)",Chemical (polymerization),Liquid CO2,SCD,,,0.156,,567,,,,,,,,,
131,SCD,Thermal insulation,Monolith,Polyurethane,,,H,,,cp,or,"Polyisocyanate (reagent unknown) + catalyst (curing at 120 °C, 7 day)",Chemical (polymerization),Liquid CO2,SCD,,,0.13,,589,,,,,,,,,
132,SCD,Thermal insulation,Monolith,Polyurethane,,,H,,,cp,or,"Polyisocyanate (reagent unknown) + catalyst (curing at 40 °C, 1 day)",Chemical (polymerization),Liquid CO2,SCD,,,0.193,,798,,,,,,,,,
133,SCD,Thermal insulation,Monolith,Polyurethane,,,H,,,cp,or,"Polyisocyanate (reagent unknown) + catalyst (curing at 80 °C, 14 day)",Chemical (polymerization),Liquid CO2,SCD,,,0.162,,602,,,,,,,,,
134,SCD,Thermal insulation,Monolith,Polyurethane,,,H,,,cp,or,"Polyisocyanate (reagent unknown) + catalyst (curing at 40 °C, 1 day)",Chemical (polymerization),Liquid CO2,SCD,,,0.193,,798,,,,,,,,,
135,SCD,Thermal insulation,Monolith,Polyurethane,,,H,,,cp,or,"Polyisocyanate (reagent unknown) + catalyst (curing at 80 °C, 14 day)",Chemical (polymerization),Liquid CO2,SCD,,,0.162,,602,,,,,,,,,
136,FD,Not specific,Granules?,Humic acid,,,C,,,pp,wa,Humic acid gel (Germany),Physical?,Water,FD,,,0.23,,5,,,,Macroporous (particulate),,,,,
137,SCD,Not specific,Granules?,Humic acid,,,C,,,pp,ow,Humic acid gel (Germany),Physical?,Acetonitrile,SCD,,,0.16,,36,,,,Macroporous (particulate),,,,,
138,SCD,Not specific,Granules?,Humic acid,,,C,,,pp,ow,"Humic acid gel (Germany, regelled)",Physical?,Acetonitrile,SCD,,,,,11,,,,Macroporous (particulate),,,,,
139,SCD,Not specific,Granules?,Humic acid,,,C,,,pp,ow,Humic acid gel (Ireland),Physical?,Acetonitrile,SCD,,,,,52,,,,Macroporous (particulate),,,,,
140,FD,Not specific,Granules?,Humic acid,,,C,,,pp,wa,Humic acid gel (New hampshire),Physical?,Water,FD,,,0.21,,4,,,,Macroporous (particulate),,,,,
141,SCD,Not specific,Granules?,Humic acid,,,C,,,pp,ow,Humic acid gel (New hampshire),Physical?,Acetonitrile,SCD,,,0.12,,50,,,,Macroporous (particulate),,,,,
142,SCD,Not specific,Granules?,Humic acid,,,C,,,pp,ow,"Humic acid gel (New York, regelled)",Physical?,Acetonitrile,SCD,,,,,4,,,,Macroporous (particulate),,,,,
143,FD,Not specific,Granules?,Humic acid,,,C,,,pp,wa,Humic acid gel (Piayella),Physical?,Water,FD,,,0.016,,18,,,,Macroporous (particulate),,,,,
144,SCD,Not specific,Granules?,Humic acid,,,C,,,pp,ow,Humic acid gel (Piayella),Physical?,Acetonitrile,SCD,,,0.072,,188,,,,Macroporous (particulate),,,,,
145,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde (R/C = 25, R/water = 0.125 g/cm3) solution + Na2CO3 solution",Chemical (polymerization),Acetone,SCD,Post-calcination at 250 °C,,0.19,,802,5.5,2.62,,,,,,,
146,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde (R/C = 25, R/water = 0.250 g/cm3) solution + Na2CO3 solution",Chemical (polymerization),Acetone,SCD,Post-calcination at 250 °C,,0.31,,772,4.2,1.71,,,,,,,
147,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde (R/C = 200, R/water = 0.125 g/cm3) solution + Na2CO3 solution",Chemical (polymerization),Acetone,SCD,Post-calcination at 250 °C,,0.14,,587,9.6,0.86,,,,,,,
148,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde (R/C = 200, R/water = 0.250 g/cm3) solution + Na2CO3 solution",Chemical (polymerization),Acetone,SCD,Post-calcination at 250 °C,,0.23,,611,7.8,2.71,,,,,,,
149,SCD,Not specific,Monolith,MF,,,I,,,cp,ow,Melamin-formaldehyde solution (pH = 2.3),Chemical (polymerization),Acetone,SCD,,,,95%,,,,,,,,,,
150,SCD,Not specific,Monolith,MF,,,I,,,cp,ow,Melamin-formaldehyde solution (pH = 2.0),Chemical (polymerization),Acetone,SCD,,,,95%,,,,,,,,,,
151,SCD,Not specific,Monolith,MF,,,I,,,cp,ow,Melamin-formaldehyde solution (pH = 1.8),Chemical (polymerization),Acetone,SCD,,,,95%,,,,,,,,,,
152,SCD,Not specific,Monolith,MF,,,I,,,cp,ow,Melamin-formaldehyde solution (pH = 1.5),Chemical (polymerization),Acetone,SCD,,,,94%,,,,,,,,,,
153,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,,,0.19,,802,,,,,,,,,
154,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.49,,774,,,,,,,,,
155,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R/W = 0.250 g/cm3)",Chemical (polymerization),Acetone,SCD,,,0.31,,772,,,,,,,,,
156,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 50, R/W = 0.250 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.74,,749,,,,,,,,,
157,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,,,0.14,,587,,,,,,,,,
158,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.21,,575,,,,,,,,,
159,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R/W = 0.250 g/cm3)",Chemical (polymerization),Acetone,SCD,,,0.23,,611,,,,,,,,,
160,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 200, R/W = 0.250 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.24,,1215,,,,,,,,,
161,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, RF - 25%)",Chemical (polymerization),Acetone,SCD,,,0.18,,,,,,Mesoporous (nanoparticulate),,,,,
162,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, RF - 25%)",Chemical (polymerization),Acetone,SCD,,,0.36,,,,,,Mesoporous (nanoparticulate),,,,,
163,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, RF - 30%)",Chemical (polymerization),Acetone,SCD,Post-calcination,,,,,,,,Mesoporous (nanoparticulate),,,,,
164,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500, RF - 30%)",Chemical (polymerization),Acetone,SCD,Post-calcination,,,,,,,,Mesoporous (nanoparticulate),,,,,
165,SCD,Not specific,Monolith,Phenolic resin,,,I,,,cp,ow,Phloroglucinol-formaldehyde solution + Ca(OH)2 (target density = 0.01 g/cm3),Chemical (polymerization),Acetone,SCD,,,0.033,,,,,,Mesoporous (nanoparticulate),,,,,
166,SCD,Not specific,Monolith,Phenolic resin,,,I,,,cp,ow,Phloroglucinol-formaldehyde solution + Ca(OH)2 (target density = 0.02 g/cm3),Chemical (polymerization),Acetone,SCD,,,0.04,,,,,,Mesoporous (nanoparticulate),,,,,
167,SCD,Not specific,Monolith,Phenolic resin,,,I,,,cp,ow,Phloroglucinol-formaldehyde solution + HCl (target density = 0.016 g/cm3),Chemical (polymerization),Acetone,SCD,,,0.023,,,,,,Mesoporous (nanoparticulate),,,,,
168,SCD,Not specific,Monolith,Phenolic resin,,,I,,,cp,ow,Phloroglucinol-formaldehyde solution + HCl (target density = 0.024 g/cm3),Chemical (polymerization),Acetone,SCD,,,0.039,,,,,,Mesoporous (nanoparticulate),,,,,
169,SCD,Not specific,Monolith,Phenolic resin,,,I,,,cp,ow,Phloroglucinol-formaldehyde solution + HCl (target density = 0.032 g/cm3),Chemical (polymerization),Acetone,SCD,,,0.053,,,,,,Mesoporous (nanoparticulate),,,,,
170,SCD,Not specific,Monolith,Phenolic resin,,,I,,,cp,ow,Phloroglucinol-formaldehyde solution + HCl (target density = 0.04 g/cm3),Chemical (polymerization),Acetone,SCD,,,0.062,,,,,,Mesoporous (nanoparticulate),,,,,
171,SCD,Not specific,Monolith,Phenolic resin,,,I,,,cp,ow,Phloroglucinol-formaldehyde solution + HCl (target density = 0.046 g/cm3),Chemical (polymerization),Acetone,SCD,,,0.071,,,,,,Mesoporous (nanoparticulate),,,,,
172,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 12.5, R/W = 0.25 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,671,,,,,,,,,
173,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 12.5, R/W = 0.25 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,646,,,,,,,,,
174,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 12.5, R/W = 0.5 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,644,,,,,,,,,
175,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 12.5, R/W = 0.5 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,383,,,,,,,,,
176,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 25, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,849,,,,,,,,,
177,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 25, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,759,,,,,,,,,
178,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 25, R/W = 0.25 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,806,,,,,,,,,
179,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 25, R/W = 0.25 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,824,,,,,,,,,
180,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 25, R/W = 0.5 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,786,,,,,,,,,
181,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 25, R/W = 0.5 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,527,,,,,,,,,
182,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 75, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,737,,,,,,,,,
183,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 75, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,849,,,,,,,,,
184,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 75, R/W = 0.25 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,763,,,,,,,,,
185,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 75, R/W = 0.25 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,550,,,,,,,,,
186,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 75, R/W = 0.5 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,696,,,,,,,,,
187,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 75, R/W = 0.5 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,736,,,,,,,,,
188,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 100, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,704,,,,,,,,,
189,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 100, R/W = 0.125 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,719,,,,,,,,,
190,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 100, R/W = 0.5 g/cm3)",Chemical (polymerization),Acetone,SCD,,,,,614,,,,,,,,,
191,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R/C = 100, R/W = 0.5 g/cm3)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,,,720,,,,,,,,,
192,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.1,,520,,,,,,,,,
193,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.18,,450,,,,,,,,,
194,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.2,,560,,,,,,,,,
195,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.24,,600,,,,,,,,,
196,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.32,,590,,,,,,,,,
197,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.37,,470,,,,,,,,,
198,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.45,,580,,,,,,,,,
199,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 200),Chemical (polymerization),Acetone,SCD,,,0.49,,580,,,,,,,,,
200,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 500),Chemical (polymerization),Acetone,SCD,,,0.1,,250,,,,,,,,,
201,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 500),Chemical (polymerization),Acetone,SCD,,,0.22,,300,,,,,,,,,
202,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 500),Chemical (polymerization),Acetone,SCD,,,0.32,,340,,,,,,,,,
203,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 500),Chemical (polymerization),Acetone,SCD,,,0.37,,350,,,,,,,,,
204,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 500),Chemical (polymerization),Acetone,SCD,,,0.47,,350,,,,,,,,,
205,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 500),Chemical (polymerization),Acetone,SCD,,,0.62,,380,,,,,,,,,
206,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,,,0.18,,5,,,,,,,,,
207,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,,,0.3,,5,,,,,,,,,
208,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,,,0.43,,100,,,,,,,,,
209,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,,,0.57,,210,,,,,,,,,
210,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,,,0.77,,370,,,,,,,,,
211,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.18,,800,,,,,,,,,
212,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.45,,850,,,,,,,,,
213,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,0.7,,900,,,,,,,,,
214,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (R/C = 1500),Chemical (polymerization),Acetone,SCD,Post-calcination at 1050 °C,,1.06,,900,,,,,,,,,
215,SCD,Not specific,Monolith,Polyurethane,,,H,,,cp,or,Suprasec DNR in dichloromethane + DABCO TMR,Chemical (polymerization),Dichloromethane,SCD,,,0.24,,295,,,,Mesoporous (nanoparticulate),,,,,
216,SCD,Not specific,Monolith,Polyurethane,,Carbonized,H,,Ca,cp,or,Suprasec DNR in dichloromethane + DABCO TMR,Chemical (polymerization),Dichloromethane,SCD,Post-calcination at 800 °C,,,,77,,,,Macroporous (cellular),,,,,
217,SCD,Thermal insulation,Monolith,RF,,,I,,,cp,ow,Resorcinol-formaldehyde-NaCO3 solution (RC = 200),Chemical (polymerization),Acetone,SCD,,,0.195,,530,,,,,,,,,
218,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R = 0.112 mol, F = 0.224 mol, C = 0.00056)",Chemical (polymerization),Acetone,SCD,,,1.14,,373,,,,,,,,,
219,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R = 0.112 mol, F = 0.112 mol, C = 0.00014)",Chemical (polymerization),Acetone,SCD,,,0.74,,116,,,,,,,,,
220,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R = 0.112 mol, F = 0.224 mol, C = 0.00014)",Chemical (polymerization),Acetone,SCD,,,0.6,,361,,,,,,,,,
221,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R = 0.112 mol, F = 0.336 mol, C = 0.00014)",Chemical (polymerization),Acetone,SCD,,,0.72,,391,,,,,,,,,
222,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R = 0.112 mol, F = 0.224 mol, C = 0.00056)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.83,,1183,,,,,,,,,
223,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R = 0.112 mol, F = 0.112 mol, C = 0.00014)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.73,,1598,,,,,,,,,
224,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R = 0.112 mol, F = 0.224 mol, C = 0.00014)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.55,,1260,,,,,,,,,
225,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-NaCO3 solution (R = 0.112 mol, F = 0.336 mol, C = 0.00014)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.55,,1173,,,,,,,,,
226,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde solution (R = 0.112 mol, F = 0.224 mol)",Chemical (polymerization),Acetone,SCD,,,0.69,,,,,,,,,,,
227,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-Pt(NH3)4]Cl2 solution (R = 0.112 mol, F = 0.224 mol, Pt = 0.00014)",Chemical (polymerization),Acetone,SCD,,,0.82,,83,,,,,,,,,
228,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-PdCl2 solution (R = 0.112 mol, F = 0.224 mol, Pd = 0.00014)",Chemical (polymerization),Acetone,SCD,,,1.25,,,,,,,,,,,
229,SCD,Not specific,Monolith,RF,,,I,,,cp,ow,"Resorcinol-formaldehyde-Ag(CH3COO) solution (R = 0.112 mol, F = 0.224 mol, Ag = 0.00014)",Chemical (polymerization),Acetone,SCD,,,1.16,,,,,,,,,,,
230,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde solution (R = 0.112 mol, F = 0.224 mol)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.55,,1085,,,,,,,,,
231,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-Pt(NH3)4]Cl2 solution (R = 0.112 mol, F = 0.224 mol, Pt = 0.00014)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.23,,699,,,,,,,,,
232,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-PdCl2 solution (R = 0.112 mol, F = 0.224 mol, Pd = 0.00014)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,0.73,,1140,,,,,,,,,
233,SCD,Not specific,Monolith,RF,,Carbonized,I,,Ca,cp,ow,"Resorcinol-formaldehyde-Ag(CH3COO) solution (R = 0.112 mol, F = 0.224 mol, Ag = 0.00014)",Chemical (polymerization),Acetone,SCD,Post-calcination at 1000 °C,,1.08,,1302,,,,,,,,,
234,FD,Not specific,Monolith,RF,,,I,,,cp,al,Resorcinol-formaldehyde solution + catalyst (frozen)?,Chemical (polymerization),t-Butanol,FD,,,,,500,,,,,,,,,
235,SCD,Not specific,Monolith,RF,,,I,,,cp,uk,Resorcinol-formaldehyde solution + catalyst?,Chemical (polymerization),Unknown,SCD,,,,,,,,,,,,,,
236,FD,Scaffold,Monolith,Chitosan,,Drug loading,A,,Lo,ng,wa,Chitosan solution (frozen),No gelation,Water,FD,Post-immersing into tripolyphoaphate solution,Physical (TPP),,,,,,,Macroporous (cellular),,,,,
237,SCD,Not specific,Monolith,"2,3-Didecyloxyanthracene",,,Q,,,pp,al,"2,3-Didecyloxyanthracene in ethanol",Physical?,Ethanol,SCD,,,0.006,,10,,,,Macroporous (fibrous),,,,,
238,SCD,Not specific,Monolith,"2,3-Didecyloxyanthracene",,,Q,,,pp,or,"2,3-Didecyloxyanthracene in scCO2",Physical?,scCO2,SCD,,,0.002,,,,,,Macroporous (fibrous),,,,,
